Zeit;Kanal A
(ms);(mV)

-21,24687415;11,91621000
-21,24187415;12,66056000
-21,23687415;12,10199000
-21,23187415;12,66056000
-21,22687415;12,10199000
-21,22187415;12,47478000
-21,21687415;12,84695000
-21,21187415;12,10199000
-21,20687415;12,10199000
-21,20187415;11,35704000
-21,19687415;11,17126000
-21,19187415;11,17126000
-21,18687415;10,23991000
-21,18187415;9,30917700
-21,17687415;9,86774200
-21,17187415;9,49557100
-21,16687415;9,49557100
-21,16187415;10,05413000
-21,15687415;10,05413000
-21,15187415;10,23991000
-21,14687415;10,42630000
-21,14187415;10,42630000
-21,13687415;11,35704000
-21,13187415;11,54343000
-21,12687415;11,54343000
-21,12187415;11,72982000
-21,11687415;12,28839000
-21,11187415;11,35704000
-21,10687415;12,28839000
-21,10187415;10,79847000
-21,09687415;12,28839000
-21,09187415;11,72982000
-21,08687415;11,35704000
-21,08187415;11,17126000
-21,07687415;10,79847000
-21,07187415;10,98487000
-21,06687415;11,17126000
-21,06187415;10,98487000
-21,05687415;10,98487000
-21,05187415;10,98487000
-21,04687415;10,79847000
-21,04187415;11,17126000
-21,03687415;9,68134800
-21,03187415;11,35704000
-21,02687415;11,35704000
-21,02187415;12,28839000
-21,01687415;11,72982000
-21,01187415;12,10199000
-21,00687415;11,72982000
-21,00187415;12,28839000
-20,99687415;12,10199000
-20,99187415;12,28839000
-20,98687415;11,91621000
-20,98187415;11,72982000
-20,97687415;11,91621000
-20,97187415;10,98487000
-20,96687415;9,86774200
-20,96187415;11,35704000
-20,95687415;9,30917700
-20,95187415;9,12278500
-20,94687415;8,75061500
-20,94187415;7,26131900
-20,93687415;5,95780000
-20,93187415;4,84067400
-20,92687415;3,72354800
-20,92187415;2,04785900
-20,91687416;0,74434050
-20,91187416;-0,74434050
-20,90687416;-2,04785900
-20,90187416;-2,97859200
-20,89687416;-3,53715500
-20,89187416;-3,72354800
-20,88687416;-3,90994000
-20,88187416;-3,90994000
-20,87687416;-3,16498500
-20,87187416;-2,42002900
-20,86687416;-1,48929600
-20,86187416;-0,37217020
-20,85687416;0,74434050
-20,85187416;0,93073320
-20,84687416;1,86146600
-20,84187416;2,23425200
-20,83687416;2,42002900
-20,83187416;0,93073320
-20,82687416;0,93073320
-20,82187416;-0,55856290
-20,81687416;-0,93073320
-20,81187416;-2,79281500
-20,80687416;-3,53715500
-20,80187416;-4,28211100
-20,79687416;-5,77140700
-20,79187416;-5,77140700
-20,78687416;-6,70275500
-20,78187416;-7,07492600
-20,77687416;-6,88853300
-20,77187416;-6,88853300
-20,76687416;-6,51636300
-20,76187416;-6,70275500
-20,75687416;-5,95780000
-20,75187416;-5,95780000
-20,74687416;-5,58562900
-20,74187416;-6,32997000
-20,73687416;-5,77140700
-20,73187416;-6,14419300
-20,72687416;-6,70275500
-20,72187416;-6,88853300
-20,71687416;-7,26131900
-20,71187416;-8,56422200
-20,70687416;-9,68134800
-20,70187416;-10,98487000
-20,69687416;-11,35704000
-20,69187416;-12,66056000
-20,68687416;-13,40551000
-20,68187416;-14,15047000
-20,67687416;-14,15047000
-20,67187416;-14,33624000
-20,66687416;-14,15047000
-20,66187416;-13,77768000
-20,65687416;-13,21912000
-20,65187416;-13,21912000
-20,64687416;-13,03334000
-20,64187416;-11,72982000
-20,63687416;-10,98487000
-20,63187416;-10,42630000
-20,62687416;-9,86774200
-20,62187416;-10,05413000
-20,61687416;-8,56422200
-20,61187416;-8,75061500
-20,60687416;-8,75061500
-20,60187416;-9,49557100
-20,59687416;-9,12278500
-20,59187416;-9,68134800
-20,58687416;-8,56422200
-20,58187416;-10,42630000
-20,57687416;-10,98487000
-20,57187416;-10,98487000
-20,56687416;-11,35704000
-20,56187416;-12,10199000
-20,55687416;-12,28839000
-20,55187416;-11,91621000
-20,54687416;-11,91621000
-20,54187416;-12,47478000
-20,53687416;-12,47478000
-20,53187416;-11,54343000
-20,52687416;-12,47478000
-20,52187416;-11,91621000
-20,51687417;-10,79847000
-20,51187417;-11,35704000
-20,50687417;-10,42630000
-20,50187417;-10,61270000
-20,49687417;-10,79847000
-20,49187417;-10,05413000
-20,48687417;-11,35704000
-20,48187417;-9,49557100
-20,47687417;-9,49557100
-20,47187417;-9,86774200
-20,46687417;-9,68134800
-20,46187417;-9,68134800
-20,45687417;-9,12278500
-20,45187417;-10,42630000
-20,44687417;-10,42630000
-20,44187417;-10,42630000
-20,43687417;-10,42630000
-20,43187417;-11,35704000
-20,42687417;-10,42630000
-20,42187417;-11,35704000
-20,41687417;-10,98487000
-20,41187417;-10,42630000
-20,40687417;-10,42630000
-20,40187417;-10,98487000
-20,39687417;-10,42630000
-20,39187417;-9,68134800
-20,38687417;-9,49557100
-20,38187417;-8,75061500
-20,37687417;-8,75061500
-20,37187417;-8,75061500
-20,36687417;-7,63348900
-20,36187417;-7,63348900
-20,35687417;-7,44709600
-20,35187417;-8,19205200
-20,34687417;-5,95780000
-20,34187417;-5,39923700
-20,33687417;-5,95780000
-20,33187417;-5,95780000
-20,32687417;-5,77140700
-20,32187417;-5,39923700
-20,31687417;-5,39923700
-20,31187417;-5,95780000
-20,30687417;-6,32997000
-20,30187417;-7,44709600
-20,29687417;-6,70275500
-20,29187417;-7,26131900
-20,28687417;-7,26131900
-20,28187417;-6,70275500
-20,27687417;-6,32997000
-20,27187417;-6,32997000
-20,26687417;-7,07492600
-20,26187417;-6,51636300
-20,25687417;-5,95780000
-20,25187417;-5,77140700
-20,24687417;-4,65428200
-20,24187417;-4,65428200
-20,23687417;-4,09571800
-20,23187417;-2,97859200
-20,22687417;-2,60642200
-20,22187417;-1,86146600
-20,21687417;-0,74434050
-20,21187417;-0,18577760
-20,20687417;0,18577760
-20,20187417;1,48929600
-20,19687417;2,04785900
-20,19187417;2,79281500
-20,18687417;3,35137800
-20,18187417;4,46850300
-20,17687417;4,84067400
-20,17187417;5,58562900
-20,16687417;6,32997000
-20,16187417;6,70275500
-20,15687417;6,70275500
-20,15187417;7,07492600
-20,14687417;8,00565900
-20,14187417;7,63348900
-20,13687417;8,19205200
-20,13187417;8,93700700
-20,12687417;8,93700700
-20,12187418;8,75061500
-20,11687418;10,23991000
-20,11187418;9,86774200
-20,10687418;10,42630000
-20,10187418;10,42630000
-20,09687418;10,79847000
-20,09187418;12,10199000
-20,08687418;12,10199000
-20,08187418;12,10199000
-20,07687418;12,66056000
-20,07187418;12,84695000
-20,06687418;12,66056000
-20,06187418;13,03334000
-20,05687418;12,28839000
-20,05187418;11,91621000
-20,04687418;12,28839000
-20,04187418;12,28839000
-20,03687418;12,10199000
-20,03187418;11,72982000
-20,02687418;11,72982000
-20,02187418;11,35704000
-20,01687418;12,10199000
-20,01187418;11,17126000
-20,00687418;10,98487000
-20,00187418;11,17126000
-19,99687418;10,98487000
-19,99187418;11,35704000
-19,98687418;12,10199000
-19,98187418;11,72982000
-19,97687418;11,91621000
-19,97187418;11,35704000
-19,96687418;11,17126000
-19,96187418;11,35704000
-19,95687418;11,72982000
-19,95187418;10,79847000
-19,94687418;10,79847000
-19,94187418;10,42630000
-19,93687418;10,79847000
-19,93187418;10,42630000
-19,92687418;9,86774200
-19,92187418;8,56422200
-19,91687418;9,12278500
-19,91187418;8,93700700
-19,90687418;9,30917700
-19,90187418;9,68134800
-19,89687418;10,42630000
-19,89187418;10,42630000
-19,88687418;10,61270000
-19,88187418;10,42630000
-19,87687418;11,17126000
-19,87187418;10,98487000
